JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ,
2460814.500000000, A.D. 2025-May-19 00:00:00.0000, -2.447513175886164E+08,  4.229945487323651E+07,  6.888354413777241E+06, -3.221251648952035E+00, -2.180448688823851E+01, -3.779541378254816E-01,
2460815.500000000, A.D. 2025-May-20 00:00:00.0000, -2.450217261063751E+08,  4.041420149899273E+07,  6.855477061183123E+06, -3.038153353656451E+00, -2.183540566992085E+01, -3.830920915639755E-01,
2460816.500000000, A.D. 2025-May-21 00:00:00.0000, -2.452763017216190E+08,  3.852633689692323E+07,  6.822156727161568E+06, -2.854750619836578E+00, -2.186493146009277E+01, -3.882083135696623E-01,
2460817.500000000, A.D. 2025-May-22 00:00:00.0000, -2.455150184891996E+08,  3.663598155168317E+07,  6.788395300478205E+06, -2.671051770485313E+00, -2.189306120453621E+01, -3.933025314916963E-01,
2460818.500000000, A.D. 2025-May-23 00:00:00.0000, -2.457378511835073E+08,  3.474325621214854E+07,  6.754194693071309E+06, -2.487065145645481E+00, -2.191979187536115E+01, -3.983744787326131E-01,
2460819.500000000, A.D. 2025-May-24 00:00:00.0000, -2.459447753006567E+08,  3.284828189061660E+07,  6.719556840015326E+06, -2.302799102764152E+00, -2.194512044838125E+01, -4.034238936549244E-01,
2460820.500000000, A.D. 2025-May-25 00:00:00.0000, -2.461357670607717E+08,  3.095117986191906E+07,  6.684483699494554E+06, -2.118262023328183E+00, -2.196904388414649E+01, -4.084505151044713E-01,
2460821.500000000, A.D. 2025-May-26 00:00:00.0000, -2.463108034105566E+08,  2.905207166253617E+07,  6.648977252876777E+06, -1.933462322098826E+00, -2.199155913581810E+01, -4.134540780628573E-01,
2460822.500000000, A.D. 2025-May-27 00:00:00.0000, -2.464698620260564E+08,  2.715107908983890E+07,  6.613039504848810E+06, -1.748408454390350E+00, -2.201266317024288E+01, -4.184343117112039E-01,
2460823.500000000, A.D. 2025-May-28 00:00:00.0000, -2.466129213153932E+08,  2.524832420140205E+07,  6.576672483509676E+06, -1.563108920491119E+00, -2.203235297818754E+01, -4.233909387425827E-01,
